# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch125,16.5,19,11.5,18,10,18,17,12,18,17,10.5,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,11.5,17.5,11,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch129,15.5,19.5,15,11,10,13,12,14,13,12,18,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,13.5,18.5,14.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch133,12,18.5,11.5,14.5,11,15,11,17,15,11,15.5,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,10.5,17,15,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch137,15,12,17,10.5,13,12,16,11,12,16,16,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,13.5,18,16.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch141,11,17,12,12,10,18,17,12,18,17,15,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,13.5,17.5,15,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch145,14,10.5,10,18,10,13,12,14,13,12,19.5,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,10.5,15,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch149,10,14,17.5,15.5,11,15,11,17,15,11,11,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,10,17,19.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch153,14,16.5,17.5,13,13,12,16,11,12,16,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,11,19,13.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch157,12,12,13.5,19,10,18,17,12,18,17,15,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,15,16,15.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch161,17,18.5,12,17.5,10,13,12,14,13,12,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,17.5,12.5,17,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch165,15,15.5,11,18.5,11,15,11,17,15,11,15.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,13,16,16,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch169,14.5,15.5,15.5,14.5,13,12,16,11,12,16,13,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,10,11.5,12,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch173,19,13.5,15.5,16.5,10,18,17,12,18,17,11.5,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,17.5,13.5,17.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch177,17,14,17.5,18.5,10,13,12,14,13,12,18.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14.5,12.5,14,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch181,14.5,11,13.5,19,11,15,11,17,15,11,16,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,13.5,10.5,10.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch185,17.5,13,17.5,15.5,13,12,16,11,12,16,18,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,12.5,15.5,16.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch189,11,16.5,14.5,17,10,18,17,12,18,17,11,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,15,18,14.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch193,16.5,19,11.5,18,10,13,12,14,13,12,12.5,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,18,13,14,16,18,11,12,18,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,14,11,16.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,18,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,18,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,18,13,11
Ch197,15.5,19.5,15,11,11,15,11,17,15,11,13,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,10,15,12,19,10,8,15,10,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15.5,19,11.5,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,10,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,10,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,10,15,8
Ch201,12,18.5,11.5,14.5,13,12,16,11,12,16,16.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,11,12,13,15,16,17,11,11,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,17.5,15,13.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,11,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,11,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,11,12,17
Ch205,19,13.5,15.5,16.5,10,18,17,12,18,17,15,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,18,13,14,16,18,11,12,18,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,17.5,11,15.5,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,18,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,18,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,18,13,11
Ch209,17,14,17.5,18.5,10,13,12,14,13,12,14.5,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,10,15,12,19,10,8,15,10,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,16,14,16,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,10,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,10,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,10,15,8
Ch213,14.5,11,13.5,19,11,15,11,17,15,11,15.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,11,12,13,15,16,17,11,11,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14.5,17,14.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,11,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,11,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,11,12,17
Ch217,17.5,13,17.5,15.5,13,12,16,11,12,16,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,11,14.5,10,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch221,11,16.5,14.5,17,10,18,17,12,18,17,13.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,13.5,11.5,13.5,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
Ch225,16.5,19,11.5,18,11,15,11,17,15,11,12.5,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,14,16,18,11,12,11,13,14,16,11,18,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,11,12,13,14,16,18,11,12,17.5,12,17,11,12,13,14,16,18,11,12,11,12,13,14,16,12,13,14,16,18,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11,12,13,14,15,16,11,13,18,12,11,12,13,14,16,18,11,12,11,13,11
Ch229,15.5,19.5,15,11,13,12,16,11,12,16,19,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,12,19,10,8,15,18,15,12,19,12,10,18,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,15,11,15,12,19,10,8,15,18,10.5,17,15,11,15,12,19,10,8,15,15,11,15,12,19,11,15,12,19,10,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8,11,15,12,18,16,12,13,10,18,15,11,15,12,19,10,8,15,18,15,8
Ch233,12,18.5,11.5,14.5,10,18,17,12,18,17,10.5,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,13,15,16,17,11,10,12,13,15,11,11,15,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,14,18,12,13,15,16,17,11,11.5,10.5,13,14,18,12,13,15,16,17,11,14,18,12,13,15,18,12,13,15,16,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17,13,16,17,12,11,11,13,11,15,14,18,12,13,15,16,17,11,10,12,17
